tipo,codigo_division,nombre_division,codigo_grupo,nombre_grupo,row_hash
Producto,47,Equipos de Limpieza y Suministros,4712,Equipo de aseo,c7069ad3aaf65a30dbfacb63b16b20e749ee541654e14a37446b2991b5636419
Producto,47,Equipos de Limpieza y Suministros,4711,Equipo industrial de lavandería y lavado en seco,1a768a19a53b1f17abac59f393791f1c1b2ad64c404141d75792c664068f4bf4
Producto,47,Equipos de Limpieza y Suministros,4713,Suministros de aseo y limpieza,bd10bf136466924af6d04df6afa4a3acc332be9f3f926a8c1c0e0cfa9c5188ae
Producto,47,Equipos de Limpieza y Suministros,4710,"Tratamiento, suministros y eliminación de agua y aguas residuales",62f4516ab351c4ab3c2c97bf72a91c2f554095b26377db84a65a725a387547ef
Producto,44,"Equipos de Oficina, Accesorios y Suministros",4411,Accesorios de oficina y escritorio,69d1a7a4a9137d546a2f6cbd25a43b3d173f0f476fb92c4b1a612c6585fbf192
Producto,44,"Equipos de Oficina, Accesorios y Suministros",4410,"Maquinaria, suministros y accesorios de oficina",be5a5f735a9591eb9904a05ef029660e9366d24698fd0421e732f6ca34ba4fb3
Producto,44,"Equipos de Oficina, Accesorios y Suministros",4412,Suministros de oficina,3677b64b95034ed392604bc687b16f4cc3a1f80900b33de2177c60c6f1098bd4
Producto,46,"Equipos y Suministros de Defensa, Orden Publico, Proteccion, Vigilancia y Seguridad",4611,Armas de guerra convencionales,7e178f3ac6459c08db0d7cbe2336d59ea8109531725444771f764feb04958752
Producto,46,"Equipos y Suministros de Defensa, Orden Publico, Proteccion, Vigilancia y Seguridad",4610,Armas ligeras y munición,acdaf540172971ca191f15691524999b3f15756dacc33c6735253a09f6df2ab0
Producto,46,"Equipos y Suministros de Defensa, Orden Publico, Proteccion, Vigilancia y Seguridad",4613,Cohetes y subsistemas,b10cda13461b66a54f948f420c1f5c43aec40f6b0eecea9b44c7f759fe15689a
Producto,46,"Equipos y Suministros de Defensa, Orden Publico, Proteccion, Vigilancia y Seguridad",4620,"Equipo de entrenamiento de seguridad física e industrial, defensa y orden público",96d2dec4c6271665b236ee2d9eb9fc21e0bc51c4ebdafa9e8421a97b058c1870
Producto,46,"Equipos y Suministros de Defensa, Orden Publico, Proteccion, Vigilancia y Seguridad",4614,Lanzadores,713738f61a415c3295bd2335c524a74c3f4e3caca57713d266475233d6fcc79e
Producto,46,"Equipos y Suministros de Defensa, Orden Publico, Proteccion, Vigilancia y Seguridad",4612,Misiles,79d556dedaa2dc2071b32e3aa124a8799adfc51ee8a775054ddd5f5e38f1b904
Producto,46,"Equipos y Suministros de Defensa, Orden Publico, Proteccion, Vigilancia y Seguridad",4619,Protección contra incendios,d721a1134e608d4d416ce36bb8b6bb7d8a50089211429628435b312c9c14dcf2
Producto,46,"Equipos y Suministros de Defensa, Orden Publico, Proteccion, Vigilancia y Seguridad",4615,Protección del Orden Público,b223271bd79977b8eb6f7373cd5e0d8d6a53fffa8fa4c3235f07123fbcd6ce66
Producto,46,"Equipos y Suministros de Defensa, Orden Publico, Proteccion, Vigilancia y Seguridad",4616,Seguridad y control público,6b26009b5a1cced3defb88a40d16269880f8469bc1d675b159b594a18e3dc77d
Producto,46,"Equipos y Suministros de Defensa, Orden Publico, Proteccion, Vigilancia y Seguridad",4618,Seguridad y protección personal,4531d73ccc308332c26beff1650137eabeed31165d04e3d6c20072fa60141f0f
Producto,46,"Equipos y Suministros de Defensa, Orden Publico, Proteccion, Vigilancia y Seguridad",4617,"Seguridad, vigilancia y detección",875613d6a477c30dfa6b11ec432527fb277adb0132e3a34ba20df77f292212b5
Producto,41,"Equipos y Suministros de Laboratorio, de Medición, de Observación y de Pruebas",4110,Equipo de laboratorio y científico,bc37a534b9a401adb2d630b43f00c4549a02dc85ab446803c79681909d492374
Producto,41,"Equipos y Suministros de Laboratorio, de Medición, de Observación y de Pruebas",4111,"Instrumentos de medida, observación y ensayo",c6413b5926f101989aecdc42041073da35cbacb8569b416cbc4a74eda7e57b43
Producto,41,"Equipos y Suministros de Laboratorio, de Medición, de Observación y de Pruebas",4112,Suministros y accesorios de laboratorio,59d0223996433e0923de26d89806279960204232c9c78ab3da2c80d5ef716b5b
Producto,45,"Equipos y Suministros para Impresión, Fotografia y Audiovisuales",4510,Equipo de imprenta y publicación,ba32627710a765caffd00d81b9f5cb0e5f2839d539e717c4d2751ec1333fa7e9
Producto,45,"Equipos y Suministros para Impresión, Fotografia y Audiovisuales",4512,"Equipo de vídeo, filmación o fotografía",bcdbb8c362eba5973b5e44a1d4199b2f78141c52e14011f6eedbe5e32e6f3dd3
Producto,45,"Equipos y Suministros para Impresión, Fotografia y Audiovisuales",4511,Equipos de audio y video para presentación y composición,537dcfc099193c090a52842d1607740ca9070961b23f037bf91cb8e163a91785
Producto,45,"Equipos y Suministros para Impresión, Fotografia y Audiovisuales",4513,Medios fotográficos y de grabación,8e5d67b82f52ac73bd80de8aa7ac57a8e70edf06c68bf88dc90997ac5654ea6f
Producto,45,"Equipos y Suministros para Impresión, Fotografia y Audiovisuales",4514,Suministros fotográficos para cine,21d7340d29df5f7708f474eb84f9d4e56fa5574a717a3bad4da9b35d198d7527
Producto,49,"Equipos, Suministros y Accesorios para Deportes y Recreación",4910,Coleccionables y condecoraciones,61263b72d61ed7da3849626b287872339e9e48fe8944d8af931ec5adea4e51ef
Producto,49,"Equipos, Suministros y Accesorios para Deportes y Recreación",4924,"Equipo de recreo, parques infantiles y equipo y suministros de natación y de spa",ca587e6c9e5d7a353b9a71a48e10370ba3a2f25ab53709df02f9ae03b03f49ad
